עגווניה ,🍅
היי שיבולת אני אוהב את הערוץ שלך אני אסיים לייק על כל סרטון ואני אוהב את הערוץ שלך ותמשיך ככה ואתה יכול לשים אותי בתגובה היומית בשבילי כי אני אוהב את הראש שלך ,❤
זה מוד שחבר שלי הכין הוא מכיר אותי מר שיבולת he my friend אז כן הוא טוב בזה הוא יצר לי גם מודים,😐
צדמבצצסתדפר,👍
אמא להה איזה משחק ישן,❤
אני מת תפסיק להעתיק מסנאקס,😂
ישןןןןן ,😂
אתה יחול לאסות סירטון של פורנאייט של המסימות,🙏
הראל קראפט ,😂
אחלה סרטון ימלך,👑
אני אומר את זה שוב פעם אני רשום לערוץ ושמתי לייק ששר על הסרטון הזה אתה מוכיח בבקשה אתה ממשיך לעשות את הסרטון הזה על המייקאפ אבל בבקשה תסביר איך מורידים את העמוד הזה של מייקראפט את זה בבקשה תראה איך מורידים תראה לי אותי בתגובה יומית ותמשיך לעשות על הסרטונים האלה בבקשה הקוף שלך או לכתוב איך שלא זוכר אותו מיהו היה ותמשיך בבקשה ותמשיך לעשות סרטון על זה וזהו,👍
אני אומר את זה שוב פעם אני רשום לערוץ ושמתי לייק ששר על הסרטון הזה אתה מוכיח בבקשה אתה ממשיך לעשות את הסרטון הזה על המייקאפ אבל בבקשה תסביר איך מורידים את העמוד הזה של מייקראפט את זה בבקשה תראה איך מורידים תראה לי אותי בתגובה יומית ותמשיך לעשות על הסרטונים האלה בבקשה הקוף שלך או לכתוב איך שלא זוכר אותו מיהו היה ותמשיך בבקשה ותמשיך לעשות סרטון על זה וזהו,❤
חברים הכי טובים,🙊
נולדה לי אחות,👶
אתה חייב להמשיך עם העריכה הזאת היא ממש יפה ואתה ממש טוב מת עליך  יאי סירטון חדש אבל אני חולה וזה לא משנה ,🤕
אתה חייב להמשיך עם העריכה הזאת היא ממש יפה ואתה ממש טוב מת עליך  יאי סירטון חדש אבל אני חולה וזה לא משנה ,😀
אתה חייב להמשיך עם העריכה הזאת היא ממש יפה ואתה ממש טוב מת עליך  יאי סירטון חדש אבל אני חולה וזה לא משנה ,🤒
שיבולת המלך תמשיך לעשות עוד מודים מגנביבים! מי שמסכים שיתן לייק,👍
מקווה שעזרתי לכם להבין קצת יותר וקצת להרגיע מוזמנים גם לקרוא עוד בלינקים בתיאור,🌾
מקווה שעזרתי לכם להבין קצת יותר וקצת להרגיע מוזמנים גם לקרוא עוד בלינקים בתיאור,😁
אחותי הייתה איתם ,🤨
אחותי הייתה איתם ,🙄
אחותי הייתה איתם ,😥
אחותי הייתה איתם ,🤔
תודה שיבולת קצת הרגעת אותי אני לא יודע איך בדיוק אבל תודה,🤣
תודה שיבולת קצת הרגעת אותי אני לא יודע איך בדיוק אבל תודה,🙈
רגע רגע הקורונה גורת להרבה שיעולים חום וקשיי נשימה?? אם כן אז אולי יש לי קורונה,😥
מנטוס יעזור נגד קורונה ,😂
בבקשה תעדכן עוד בהמשך ותודה ,👌🏽
בבקשה תעדכן עוד בהמשך ותודה ,❤
אני אהבתי את הסירטון אבל לא אהבתי את הכותרת של הסירטון כי דברת על אנשים שעושים כותרות כאלו ובעצם אתה עושה את זה זה לא בשביל ללעוג לך זה בשביל להדגיש לך את זה שתדה אני ממש אוהב את הסירטונים שלך ואני באמת מעריך אותך ובבקשה תמשיך אם הסדרה הזות ,😉
אני אהבתי את הסירטון אבל לא אהבתי את הכותרת של הסירטון כי דברת על אנשים שעושים כותרות כאלו ובעצם אתה עושה את זה זה לא בשביל ללעוג לך זה בשביל להדגיש לך את זה שתדה אני ממש אוהב את הסירטונים שלך ואני באמת מעריך אותך ובבקשה תמשיך אם הסדרה הזות ,😁
מאיפה הבאת את השם מר שיבולת? ולמה אתה עושה כותרת קליק בייייטטטטטטטט,🤣
אחלה סירטון ,👌
אחלה סרטון מאוד הרגעת אותי תודה רבה,😱
הוירוס הגיע מניסוי כימי שעשו בסין אבל הם מפחדים להגיד כי כל העולם יכעס עליהם אני אומר לכם עוד 10 שנה הם יגידו את זה,🤔
אתה מלך תודה רבה שאתה נותן מידע ,👑
מה קורה מר שיבולת יצא לפני כמה ימים season חדש  אבל כשאני רוצה להיכנס לפורטנייט אני לא יכול להיכנס וכתוב לי application crash detected אתה יכול בבקשה לעזור לי  אתה יכול ליצר איתי קשר ב gmail או במשהו אחר pls אני רוצה כבר לשחק אני כבר ימים שלמים מכה וזה מה קורה לי ,😢
מה קורה מר שיבולת יצא לפני כמה ימים season חדש  אבל כשאני רוצה להיכנס לפורטנייט אני לא יכול להיכנס וכתוב לי application crash detected אתה יכול בבקשה לעזור לי  אתה יכול ליצר איתי קשר ב gmail או במשהו אחר pls אני רוצה כבר לשחק אני כבר ימים שלמים מכה וזה מה קורה לי ,🤗
מה קורה מר שיבולת יצא לפני כמה ימים season חדש  אבל כשאני רוצה להיכנס לפורטנייט אני לא יכול להיכנס וכתוב לי application crash detected אתה יכול בבקשה לעזור לי  אתה יכול ליצר איתי קשר ב gmail או במשהו אחר pls אני רוצה כבר לשחק אני כבר ימים שלמים מכה וזה מה קורה לי ,😣
מר שיבולת מצאתי משהו מעניין מאוד בפורטנייט נכון מאיה הדמות החדשה (טייר 1) במקום שעושים לדמות שלה עריכה בהתאמה אישית יש מאחוריה בנישקיה את הגרזן של ת&#39;ור מהנוקמים וכבר ידוע שדדפול קשור לעונה יש סיכוי שיהיה העונה משהו שקשור למרוואל(אם אתה מעלה את זה לסירטון אשמח אם תיתן קרדיט),🙂
 אותך יגבר על,❤
מר שיבולת מה קורה ישועל,🐺
מר שיבולת מה קורה ישועל,🌾
אתה מלך תודהאתה יכול לעלות את המשימות החדשות,❤
שמר שיבולת אומר 20 פעם בסרטון את המילה &quot;מוטיב&quot; ,😵
שמר שיבולת אומר 20 פעם בסרטון את המילה &quot;מוטיב&quot; ,😪
שמר שיבולת אומר 20 פעם בסרטון את המילה &quot;מוטיב&quot; ,🥴
כנסו לוולוג האחרוןן ואם אהבתם תנו לי סאב,🤟🏽
איזה מלך ,❤️
איזה אח חולה עליך,💪
איזה אח חולה עליך,❤
מה קורה מר שיבולת היום יצא season חדש  אבל כשאני רוצה להיכנס לפורטנייט אני לא יכול להיכנס וכתוב לי application crash detected אתה יכול בבקשה לעזור לי   אתה יכול ליצר איתי קשר ב gmail או במשהו אחר pls אני רוצה כבר לשחק אני כבר יום שלם מכה וזה מה שקורה לי ,😢
מה קורה מר שיבולת היום יצא season חדש  אבל כשאני רוצה להיכנס לפורטנייט אני לא יכול להיכנס וכתוב לי application crash detected אתה יכול בבקשה לעזור לי   אתה יכול ליצר איתי קשר ב gmail או במשהו אחר pls אני רוצה כבר לשחק אני כבר יום שלם מכה וזה מה שקורה לי ,🤗
מה קורה מר שיבולת היום יצא season חדש  אבל כשאני רוצה להיכנס לפורטנייט אני לא יכול להיכנס וכתוב לי application crash detected אתה יכול בבקשה לעזור לי   אתה יכול ליצר איתי קשר ב gmail או במשהו אחר pls אני רוצה כבר לשחק אני כבר יום שלם מכה וזה מה שקורה לי ,😣
אתה הורג אותי ,🤣
אתה הורג אותי ,😅
נשבעת חשבתי על השם והגעתי למסקנה שזה אומר שלא היה לך ביטוח בריאות,🤣
נשבעת חשבתי על השם והגעתי למסקנה שזה אומר שלא היה לך ביטוח בריאות,😂
מר שיבולת לא ידעתי שאתה זמר תשיר את הקקטוסים כי אולי כדי לך להירשם לכוכב הבא לאירוויזיון אוהב אותך שי או יותר נכון מר שיבולת מיצטער,😁
אוהב את הסדרות שלך ואותך ואת הערוץ עצמואפשר ?,❤
חחחח זה אחלה מוד לעשות עליו סדרה!תמשיך!אני גם עשיתי פרק אחד לבינתיים ,😂
אתה טוב מר שיבולת,😎
זה לא היה קללה זה הוא ביקש היום למדנו על זה,🤣
זה לא היה קללה זה הוא ביקש היום למדנו על זה,😂
אני ברזילאי והבנתי מה זה אומרואורו זה זהב,😄
אני ברזילאי והבנתי מה זה אומרואורו זה זהב,😁
תקשיב אני מתחננן שתקראה את העובדה שלי נכון המספר פלאפון שכתוב המספר פלאפון הוא 2202020 שאם אתה הופך את העשרים והשתיים זה יוצא ה 2022020 שהתאריך הזה יהיה בעוד יומיים מקווה שתקרא את התגובה הזאת ואם תחשבו שזה חשוב תעשה על זה סרטון !!!!!!! על הדרך תגיד שאני אמרתי לך את זה בסרטון ,🙌
תקשיב אני מתחננן שתקראה את העובדה שלי נכון המספר פלאפון שכתוב המספר פלאפון הוא 2202020 שאם אתה הופך את העשרים והשתיים זה יוצא ה 2022020 שהתאריך הזה יהיה בעוד יומיים מקווה שתקרא את התגובה הזאת ואם תחשבו שזה חשוב תעשה על זה סרטון !!!!!!! על הדרך תגיד שאני אמרתי לך את זה בסרטון ,🙌🏻
אני אומר שזה הגופה של מידס כי הוא הפך את עצמו לזהב כשקברו אותו אז הנמלים לא יכלו לאכול אותו אז מה שקרה הוא חזר לחיים בתור שלד ונגע בהכל זאת התאוריה שלי מקווה שתאהב,❤
״מכול זה אומר? אתגר הלייק חברים יש עוד 54321״! מר שיבולת איך אתה אוהב לעשות מתח באמצה אוהב אותך!,💙
״מכול זה אומר? אתגר הלייק חברים יש עוד 54321״! מר שיבולת איך אתה אוהב לעשות מתח באמצה אוהב אותך!,⚡
״מכול זה אומר? אתגר הלייק חברים יש עוד 54321״! מר שיבולת איך אתה אוהב לעשות מתח באמצה אוהב אותך!,☄️
״מכול זה אומר? אתגר הלייק חברים יש עוד 54321״! מר שיבולת איך אתה אוהב לעשות מתח באמצה אוהב אותך!,🪐
אני חברה של מקריטה גם בלי עצם כי הכלבים שלי אוכלים רק חטיפי כלביםנב כולם סאב למקריטה,🤣
אני חברה של מקריטה גם בלי עצם כי הכלבים שלי אוכלים רק חטיפי כלביםנב כולם סאב למקריטה,😍
אני יודעת הרוצח שמוליק אליו כל אחד שרואה את הסרטון הזה שעשינו לייק להירשם לערוץ שלו יש לו טוחנים של סרטונים טוב הוא טוב זהו שהוא ימשיך ככה ואני אוהב את הערוץ שלך שימו לייק ותרשמו לערוץ שלו ,👍
אני יודעת הרוצח שמוליק אליו כל אחד שרואה את הסרטון הזה שעשינו לייק להירשם לערוץ שלו יש לו טוחנים של סרטונים טוב הוא טוב זהו שהוא ימשיך ככה ואני אוהב את הערוץ שלך שימו לייק ותרשמו לערוץ שלו ,❤
להגיד לך למה אני כל כך מת עליך? כי אתה שם פס על כל מה שטרנדי עושה את מה שאתה אוהב דרך אגב אהבתי את הרעיון של הסדרת מודים⁦⁩,♥️
להוט ובזק יש תירוצים בזכותך ,👍
תאמת הקהילה שלך לצערי זה הלידי פורטנייט או מיינקרפט אז זה לא נחשב גיימר ,🤗
תאמת הקהילה שלך לצערי זה הלידי פורטנייט או מיינקרפט אז זה לא נחשב גיימר ,😥
בבקשה תעשה יותר סרטונים בסגנון הזה ,🙏🏽
החדר שלך זה מסך ירוק ,☺
וואו איזה כיף שאתה עושה סרטון כזה חברים אמרו לי מה זה אבל לא כזה הבנתי אבל בסרטון הבנתי תודה רבה שעשית את הסרטון הזה⁦⁩⁦⁩,❤️
אחלה סרטון,👍
פינג זה חזירזהו,🐷
פינג זה חזירזהו,🐖
תגיד אתה יכל לעשות סירטון איך להעלות fps ולהוריד פינג זה חשוב לי נימאס לי מהא fps הגרוע הזה שלי ⁦⁩,🥺
תגיד אתה יכל לעשות סירטון איך להעלות fps ולהוריד פינג זה חשוב לי נימאס לי מהא fps הגרוע הזה שלי ⁦⁩,☹️
תגיד אתה יכל לעשות סירטון איך להעלות fps ולהוריד פינג זה חשוב לי נימאס לי מהא fps הגרוע הזה שלי ⁦⁩,🙏
אם עזרתי לכם תרגישו חופשי לשתף עם חברים אמרתי בסרטון עדכון אבל מדובר בסנאפשוט סורי על הבלבול ,😉
אם עזרתי לכם תרגישו חופשי לשתף עם חברים אמרתי בסרטון עדכון אבל מדובר בסנאפשוט סורי על הבלבול ,😁
לא שמתי לב לזה שכבר רשמו את זה,😅
הלא ידוע הזה זה מי שנכנס ליוטיוב ללא אימייל ,📧
הלא ידוע הזה זה מי שנכנס ליוטיוב ללא אימייל ,✉️
זה לא עושה לי את העדכוןאתה יודע למה?,🥺
לא ידוע זה קטין יא אהבל  ליוטיוב אסור לאסוף מידע על קטינים,😀
אפשר לחצוב את הבלוק החדש עם פיקקס מאבן?ואני מת עליכה אתה היותיובר האהוב עלי יה  מלך ומה עם פורטנייט אני לא בארץ אז המחשב שלי בבית שלי אז מה עם האירוע?,👑
גן עדן וגענם,🤔
המצנח מזכיר את נימבוס מדרגון בול זי (בעברית לפליינג נימבוס קוראים עננה),😒
איזה מוד קלאסי,😭
זה מוד ,😭
זה ,😭
מר שיבולת שמתי לייקסאב ופעמון מזמן⁦⁩אני ממש אוהבת את הערוץ של התוכן בו מעניין מאוד יש לי שאלה העדכון כבר היה?,❤️
מר שיבולת שמתי לייקסאב ופעמון מזמן⁦⁩אני ממש אוהבת את הערוץ של התוכן בו מעניין מאוד יש לי שאלה העדכון כבר היה?,🔔
מר שיבולת שמתי לייקסאב ופעמון מזמן⁦⁩אני ממש אוהבת את הערוץ של התוכן בו מעניין מאוד יש לי שאלה העדכון כבר היה?,😀
מר שיבולת שמתי לייקסאב ופעמון מזמן⁦⁩אני ממש אוהבת את הערוץ של התוכן בו מעניין מאוד יש לי שאלה העדכון כבר היה?,👍
קצת פורטנייט ,😋
מה עוד המשימות שלה יש לי אותה ואני נרשמתי,❤
שמע אתה היתה מאוד חוצפן בסרטון של מרגריטה עם שיבולת היהלום(לא יפה),🖤
כל לייק זה מישהו שרושם 1 ,😂
רלכלגחב,🥳
רלכלגחב,🦾
זה עובד אם אם ממלאים את בלון כמעט עד הסוףאם לא הוא מתפוצץ,💦
זה עובד אם אם ממלאים את בלון כמעט עד הסוףאם לא הוא מתפוצץ,🎈
אני מתה עלך ,💝
אני רוצה להיות איתך במועדון שלך מאיתי מאלמג איתי אבישר צד ימין הבית האחרון מאתיים שקל לתמיד תודה,🇮🇱
אני רוצה להיות איתך במועדון שלך מאיתי מאלמג איתי אבישר צד ימין הבית האחרון מאתיים שקל לתמיד תודה,💸
אין לי דבק חם בביתסרטון מטורף ומאוד מצחיק,😂
יש לי דבק חם בבית!!,🤣
תמיד ידעתי שערים הוא קוף,😂
תעשה עולם סורבייבל עם ערים ותעשה מזה סדרה חדשה,🙏
מרשיבולתאתהגבר,😎
מרשיבולתאתהגבר,👍
ממש מקווה שנהנתם מהסרטון תרגישו חופשי להירשם לעוד סרטונים מגניבים ,😘
יתוב,😀
אתה יכול לעשות סרטון שאתה מוריד את המוד (המוד לא עובד לי ,☹
אתה יכול לעשות סרטון שאתה מוריד את המוד (המוד לא עובד לי ,🙁
מי שם לב שיש שני ירחים נורא מוזר,🤔
דרקון? כאילו,🧐
היי מר שיבולת מה שלומך?הייתי שמח עם היית עושה מדריך להורדת מודים כי אני ואנגלית ספיק ספיק אבל לא מספיק אגב סרטון מעולה!!!,❤
מר שיבולת הייתי רוצח אותך אבל אתה לא מהפרלמנטום,🗡
תעשה מזה סורביבל תנו לייק בשביל שיעשה,🔥
תעשה מזה סורביבל תנו לייק בשביל שיעשה,🙈
תעשה מזה סורביבל תנו לייק בשביל שיעשה,👍
מרגש שאתה ככה חושף משהו של עצמךאני בטוחה שכל מי שראה את הסרטון זה עורר בו משהו ולבקש עזרה זה באמת מציל חיים תודה על השיתוף עזרת,♥
מלך ,😢
מלך ,🤴
מלך ,😭
איזה אמיץ אתה שאתה מספר את זה,❤️
תודה,❤
אצוב,😢
אצוב,💔
אצוב,😕
אצוב,😭
אתה מדהים,♥️
וואו כל הכבוד לך לא כל בן אדם היה עושה את זה מעריך ,❤
מי שלא נתן לייק לסירטון הזה הוא פשוט לא יודע לחשוב ואין לו לב למי שלא שם לייקקקקקקקקקק,🥰
באלי לבכות ,😭
ימלך⁦⁩,👑
ימלך⁦⁩,❤️
יש לך מלא קהל אל תידאג לגבי זה,😇
מת עליך,❤️
למה אתה מחכה את מקריטה,😊
אני בוכה ,😭
אני בוכה ,😖
אני בוכה ,😱
סיפור מהמם ונוגע ללבתמשיך להיות יוטיובר מצוין אתה בסופו של דבר תתגבר על הכל,😀
סיפור מהמם ונוגע ללבתמשיך להיות יוטיובר מצוין אתה בסופו של דבר תתגבר על הכל,❤
אני באמת רוצה להבין מי החרות אנשים ששמו דיסלייק לסרטון בן אדם בא חושף את הלב שלו ואנשים חרות שמים דיסלייק אני מאוד אהבתי את זה ששיתפתה וגם היה בזה מוסר הסכל אז זה בכלל היה טוב ואוהב את הערוץ שלך תמשיך כך וסליחה שזה טיפה בדיליי מאז העלאת הסרטון פשוט לא ראיתי טותו לפניי זה,🙂
איך יכולת  להרוג צבי ,😭
איך יכולת  להרוג צבי ,😡
איך יכולת  להרוג צבי ,😱
זה לא &quot;סרטן אחר&quot; זה חתול ים ,😂
הסרטן השני הוא בכלל חתול ים,😓
נירשמתי לערוץ שלך והפעלתי את הפעמון תמשיך ככה,❤️
אבל אחרי הכל זה בשביל המדע ,🤓
בוא נעשה שיתוף פעולה נהיה שיבולת שועל,😅
תותח ,🔥
אז ניסיתי לעשות משהו ממש שונה מבדרך כלל מקווה שתעריכו את ההשקעה ,😉
צטוט שלך חרב מאבן מקוש מברזל גרזן מעץ המצאות הכול מאבן ,😁
מי אוהב חיזרים שיתן ליקומי שלא רוצה לעסות ליקלפחות ירשום תגובהב ב ק ש ה,😢
פבצךרת תרלבבמס064Hcjv,😇
פבצךרת תרלבבמס064Hcjv,😃
פבצךרת תרלבבמס064Hcjv,👍
למה אתה לא הראתה איך נראחם קקטוסימנב תכין קליפ של השיר קקטוסים ,😊
למה אתה לא הראתה איך נראחם קקטוסימנב תכין קליפ של השיר קקטוסים ,🤗
מר שיבולת אמלח ,💛
אתם מכירים את האלה שאומרים מי שמסכים שיתן לייק עם אתם מכירים תנו לייק,😂
בבקשה תעשה RP בשרת של רונן gg,🙏
אוף אני לא רקדן,😥
יופי זה מה שבדיוק רציתירק אני שונא טיקטוק?,🤦‍♂️
אחלה של סירטון אשמח אם תעשה סירטון על איך להשיג את הסקינים של האלטר אגו והסקין של הג׳לי הסגול ,👍🏻
אחלה של סירטון אשמח אם תעשה סירטון על איך להשיג את הסקינים של האלטר אגו והסקין של הג׳לי הסגול ,😀
אני רוקד יפה אבל אני לא בן 13 נמאלה,😭
צפיתי ראשון! פעם ראשונה נרשמתי לערוץ נתתי לייק והפעמון פועל שכחתי נפל לך ה מר שיבולת,👑
מר שבולת אולך לצאת סקין חדש וריקוד והמכיר זה 1999 חולה עליך,❤
צפיתי ראשון! פעם ראשונה נרשמתי לערוץ נתתי לייק והפעמון פועל שכחתי נפל לך ה מר שיבולת,👑
אני רואה את הסרטון הזה והכלב שלי לידי (קוראים לו פלוטו) והוא לא הבין מי קרא לו,🤣
מר שיבולת בבקשה תעשה סירטון הסבר איך משיגים את הסקין ג׳לי הסגול בפורטנייטדרך אגב אני נתתי לייק לסירטון איך שהוא יצא חולה עליך ,😃
לייק מי שלובש גרביים,👍
לייק מי שלובש גרביים,👍
הייתה בעיה עם הסרטון של היום זה למה העליתי אותו מחדש ,😉
רק קוד SHIB ימלך!!! רק בגללך אני אוהב שיבולים!! חולה עליך!!,💛
רק קוד SHIB ימלך!!! רק בגללך אני אוהב שיבולים!! חולה עליך!!,💜
רק קוד SHIB ימלך!!! רק בגללך אני אוהב שיבולים!! חולה עליך!!,❤
רק קוד SHIB ימלך!!! רק בגללך אני אוהב שיבולים!! חולה עליך!!,💙
רק קוד SHIB ימלך!!! רק בגללך אני אוהב שיבולים!! חולה עליך!!,💚
אתה היוטיוב הכי איכותתתת בארץ ,❤️
אתה היוטיוב הכי איכותתתת בארץ ,😍
אחיקר אם שמת לב יש דיליי בין מה שאתה אומר לבין איך שהשפתיים שלך מדברותזה די מציק,😂
אוהב אותך סרטון מדהים⁦⁩,❤️
מה זה אומר שיבולת + =שיבולת שועל,🐺
יש תמשיךך את הסידרה כולם לייק וסאבב ובבקשה תצמיד את התגובה שלי,🙏
אוהב אותך אתה יוטיובר טוב רצח אתה מצחיק ממש אתה ממצי מילים אל ימין ואל שמאל,❤
הפסדתי,😎
למה אתה קורא לאיש סלרפ מוזר רק בגלל שהוא נוצר אל ידי שילד רעיל שהתמזג עם תאים חיים אשר גרמו לתגובת שרשרת ואז הוא נוצר מה מוזר בזה ,🤨
אהבתי את במשפט שאמרת: ״ואפשר לראות שהגיבורים דגים דגים״,😉
אהבתי את במשפט שאמרת: ״ואפשר לראות שהגיבורים דגים דגים״,😂
אהבתי את במשפט שאמרת: ״ואפשר לראות שהגיבורים דגים דגים״,😅
הפקתי לעשות לייק אתה יוטיובר טוב שאני אוהב אותך וביזגותך אני משחק אתה מעלה תוכן טוב ומענייון וחכם אוהב אותך שיבולת,💥
חשבתי אתה מתכוון ללווייתן הכחולּ⁠,🥲
מרגש,🥲
חחח,🤣
כמו פרסומת של חולי סרטן,🤣
זה כל כך לא נכון בן יהודה הוא מקסים!!!!!!!!!,😠
כול מי שבכלל לא אוהב את בייבי יודה ושלא יוסיפו את בייבי יודה לסרט החדש של סטאר וורס שייתן לייק ותענוג לצפות בסרטון הזה ואני חייב להסכים לזה כי אני רואה בכול סרט את בייבי יודה וזה טיפה מחרפן אותי ואני שם  לזה,❤️
יש לזה קבוצת תמיכה אני צריך,😢
יש לזה קבוצת תמיכה אני צריך,😭
כשאין רעיונות לסרטונים,😂
אני חיכיתי ממש לשיתוף פעולה הזהמת עליכם ממש ,❤️
חיקוי כושל של שוגר זאזה סתם אוהב אותך ,❤️
מישהו ראה מה היה כתוב למטה ב- 2:27 ,😂
אנשים שמחפשים את ד&quot;ר אלפונס:,🐢
לא רק שאני במדריד כרגע ואני דואג לכם לתוכן גם אין מונוטיזציה לסרטון כי יש מוזיקה (אז זה סרטון שאני לא מרוויח עליו שקל) תראו לי עוד יוטיובר שככה משקיע בקהל שלו  אוהב אותכם,😘
רק עכשיו הבנתי שקוראים לערים עדן XD,🐒
זה הקטע הכי טוב  ב4:38,😂
חחחחחחחחחחחחחחחחחח צחקתי חצי כל הסרטון ,😉
חחחחחחחחחחחחחחחחחח צחקתי חצי כל הסרטון ,👍
חחחחחחחחחחחחחחחחחח צחקתי חצי כל הסרטון ,🤣
חחחחחחחחחחחחחחחחחח צחקתי חצי כל הסרטון ,❤
חחחחחחחחחחחחחחחחחח צחקתי חצי כל הסרטון ,😂
חתפואי אלחה מר שיבולת,🥔
&quot;מלא בגזים&quot; ,😂
למה,😣
מעגאכה5גד וכ כ םעעהאהטבר7ב6רבר ב3 את 3 2 את &#39;רד&#39; רז 4ד4ד8ר7,🤚
מעגאכה5גד וכ כ םעעהאהטבר7ב6רבר ב3 את 3 2 את &#39;רד&#39; רז 4ד4ד8ר7,🐆
מעגאכה5גד וכ כ םעעהאהטבר7ב6רבר ב3 את 3 2 את &#39;רד&#39; רז 4ד4ד8ר7,🥶
מעגאכה5גד וכ כ םעעהאהטבר7ב6רבר ב3 את 3 2 את &#39;רד&#39; רז 4ד4ד8ר7,👁️‍🗨️
מעגאכה5גד וכ כ םעעהאהטבר7ב6רבר ב3 את 3 2 את &#39;רד&#39; רז 4ד4ד8ר7,👏
טיקטוק זה חרא דבר,‼️
טיקטוק זה חרא דבר,‼️
שנה טובה לכולם,🚀
מר שיבולת נפל לטיק טוק ,😥
שיבלים ימלכים אבל הכי הרבה מר שיבולת ,🌾
שיבלים ימלכים אבל הכי הרבה מר שיבולת ,😁
לא עשיתי לייק כי אין לי טלפון (אני 2019),🤣
הי מר שיבולת אני ממש רוצה לשחק מינקראפט אבל יש לי מינקראפט פרוץ תוכל לשים קישור של המינקראפט שלך בבקשה ,💓
צבא השיבולים לנצח,🌾
סרטון קורעע,🤣
עם תרנגולת רואה שניצל אז היא רוצה אותו אבל לא רוצה אותו תבינו מהאימוג&#39;ים האלה: +=שניצלשששש שששששששששששששששששששששששששששששששששיבולתקקטוסים קקטוסים קקטוסים,🍗
עם תרנגולת רואה שניצל אז היא רוצה אותו אבל לא רוצה אותו תבינו מהאימוג&#39;ים האלה: +=שניצלשששש שששששששששששששששששששששששששששששששששיבולתקקטוסים קקטוסים קקטוסים,🍞
מי שעבד לו שיתן ,👍
יש פופ של דג האלן ,🐠
זה לא נותן לי ליפתוחה,😦
אחלה סקין יפה מאוד הסקין הראשון שלי ,😄
אחלה סקין יפה מאוד הסקין הראשון שלי ,😅
לא קיבלתי וקרס לי ,😩
מלך ,👑
אתה יכול לעשות מדריך איך לפצל את המסך בקונסולות כמו שאמרת בסרטון בבקשה רק שיבולת יוכל לנצח קודShib בבקשה,🥺
אתה יכול לעשות מדריך איך לפצל את המסך בקונסולות כמו שאמרת בסרטון בבקשה רק שיבולת יוכל לנצח קודShib בבקשה,🙏
תותח אתה ,👌
שיבולת הודעה דחופה!ב 2:12 בצד שמאל  יש שם קרטונים בין הקרטונים יש שם את קווין הקוביה?! תיראה שם זה חשוב ודחוף אולי זה איסטרג לקווין! אוהב אותך ימלך! תמשיך כך,➡️
אפילו שאני עם אינפוזיה אני צופה בך,😁
איזה ידע מר שיבולת מרשיםםםםם,😯
מלך שיבולת ‏שולט,😂
מחר אני בא לבית הספר ובזמן שיעור על איך החג הזה נוצר אז אני ידליק את המחשב ואני יפעיל את הסרטון שכולם ידעו את האמת בפני חנוכה!!!!!! ,😂
אדיר אתה ענק מצחיק מוכשר,🌾
‏אני עמיתי שהיה שמר שבולת שאלה שרטון,😄
זה מר שיבולת (לא רוצה לייקים תרדו)כל לייק הוא גדל חלאס עם כל מי שעושה את זה דיייי כבר !!!!!!!!!!!!!!!!!!!! זה כבר מגעיל אותי התגובות האלה תגיבו גם ככה של בני ה7 יפסיקו לסחוט לייקים,👕
זה מר שיבולת (לא רוצה לייקים תרדו)כל לייק הוא גדל חלאס עם כל מי שעושה את זה דיייי כבר !!!!!!!!!!!!!!!!!!!! זה כבר מגעיל אותי התגובות האלה תגיבו גם ככה של בני ה7 יפסיקו לסחוט לייקים,🦶
זה מר שיבולת (לא רוצה לייקים תרדו)כל לייק הוא גדל חלאס עם כל מי שעושה את זה דיייי כבר !!!!!!!!!!!!!!!!!!!! זה כבר מגעיל אותי התגובות האלה תגיבו גם ככה של בני ה7 יפסיקו לסחוט לייקים,👖
זה מר שיבולת (לא רוצה לייקים תרדו)כל לייק הוא גדל חלאס עם כל מי שעושה את זה דיייי כבר !!!!!!!!!!!!!!!!!!!! זה כבר מגעיל אותי התגובות האלה תגיבו גם ככה של בני ה7 יפסיקו לסחוט לייקים,😀
לפי דעתי יצא פרק מטורף מה אתם אומרים? שימו לייק אם אהבתם ,🤩
כי כבר עשיתי 1:57,😎
גם אתה רואה חתולונובלה ,😹
גם אתה רואה חתולונובלה ,😺
גם אתה רואה חתולונובלה ,😸
גם אתה רואה חתולונובלה ,👍
אסיתי,💛
אסיתי,👍
זה שי:כל לייק מגדל עוד שיבולת על הראש שלו בוא נראה כמה שיבולים יהיו,👕
זה שי:כל לייק מגדל עוד שיבולת על הראש שלו בוא נראה כמה שיבולים יהיו,👖
זה שי:כל לייק מגדל עוד שיבולת על הראש שלו בוא נראה כמה שיבולים יהיו,🌾
זה שי:כל לייק מגדל עוד שיבולת על הראש שלו בוא נראה כמה שיבולים יהיו,🥾
רק אני עשיתי לייק לפני אתגר הלייק?,😋
יש לי את הגלידר הוא מגניב בתרוף,👌
מר שיבולת ליד הגליידר יש תרנגולת  תיכנס לאזור של התרנגולת  כזאת שמצפצפת ולידה בצד ימין יש קרטונים ובין הקרטונים יש משהו של קווין הקוביה?! אתה חייב דחוף לבדוק את זה!!!!!!!!!!!!! בבקשה תקרא תתגובה זה חשוב ודחוף,🐓
אתה יכול לעשות משימות ? ,😁
שיבולת תעלה כול יום מתנה אחת ,🤘
